epoch,train_loss,train_err,test_err
0,1.508594036102295,0.6392,0.6367
1,1.4728566408157349,0.43492,0.4437
2,0.8513883352279663,0.37536,0.3705
3,0.840244472026825,0.31022,0.306
4,0.9688209295272827,0.27596,0.29
5,0.6248975396156311,0.24674,0.2619
6,0.5320519208908081,0.20812,0.219
7,0.5428067445755005,0.21312,0.2171
8,0.4743431508541107,0.21626,0.2328
9,0.5176925659179688,0.2303,0.2378
10,0.5963144898414612,0.1659,0.1915
11,0.49902233481407166,0.16968,0.1919
12,0.5068022608757019,0.16114,0.1886
13,0.555869460105896,0.1762,0.2
14,0.3892887532711029,0.1598,0.1779
15,0.45818328857421875,0.13424,0.1651
16,0.4072473645210266,0.13704,0.1608
17,0.32400375604629517,0.1551,0.1878
18,0.349666565656662,0.14366,0.1634
19,0.24323296546936035,0.13766,0.1674
20,0.32655245065689087,0.13922,0.1721
21,0.21795031428337097,0.13282,0.1527
22,0.42297807335853577,0.12322,0.1562
23,0.21354839205741882,0.11852,0.1507
24,0.33928102254867554,0.16338,0.1926
25,0.4362010359764099,0.16784,0.1937
26,0.31776878237724304,0.11896,0.1434
27,0.35055071115493774,0.1455,0.1797
28,0.270088255405426,0.11502,0.1498
29,0.3101749122142792,0.14116,0.1697
30,0.20795996487140656,0.1125,0.1487
31,0.18814341723918915,0.11782,0.1537
32,0.34529343247413635,0.1198,0.1546
33,0.25037264823913574,0.12078,0.1559
34,0.2991112768650055,0.13558,0.1745
35,0.40356817841529846,0.10638,0.1424
36,0.26105013489723206,0.14042,0.1701
37,0.28594380617141724,0.12732,0.1596
38,0.3229512572288513,0.09856,0.1348
39,0.3384126126766205,0.14842,0.1788
40,0.2787947654724121,0.11848,0.1572
41,0.26694169640541077,0.11756,0.1526
42,0.23759934306144714,0.10204,0.1415
43,0.23854637145996094,0.102,0.1455
44,0.18253882229328156,0.12534,0.1613
45,0.1973160058259964,0.10412,0.1459
46,0.38513368368148804,0.10518,0.1338
47,0.21283289790153503,0.12048,0.1595
48,0.27963000535964966,0.09346,0.1353
49,0.3035379648208618,0.1052,0.1445
50,0.3602682650089264,0.09556,0.1287
51,0.25321051478385925,0.10326,0.1404
52,0.40209683775901794,0.11418,0.153
53,0.4562342166900635,0.09968,0.1369
54,0.2438911497592926,0.09628,0.1333
55,0.2563777565956116,0.10846,0.151
56,0.44303616881370544,0.09678,0.1345
57,0.2544124126434326,0.10352,0.1369
58,0.34171241521835327,0.09336,0.1347
59,0.13884389400482178,0.09044,0.131
60,0.34048110246658325,0.1276,0.1679
61,0.198198601603508,0.1239,0.1639
62,0.16580720245838165,0.10186,0.138
63,0.36859387159347534,0.10612,0.1457
64,0.1711839884519577,0.09174,0.1302
65,0.283527135848999,0.08524,0.1303
66,0.1907847821712494,0.13552,0.1784
67,0.1336020529270172,0.11142,0.1464
68,0.3572896718978882,0.11556,0.154
69,0.2591346204280853,0.0841,0.1287
70,0.3288031220436096,0.1088,0.1537
71,0.18303506076335907,0.0914,0.1378
72,0.3485443592071533,0.10298,0.1369
73,0.25899749994277954,0.09362,0.1268
74,0.40433603525161743,0.09104,0.1372
75,0.18404951691627502,0.08296,0.13
76,0.3679293692111969,0.09838,0.1384
77,0.27146074175834656,0.10694,0.1459
78,0.27449172735214233,0.09402,0.1317
79,0.21372506022453308,0.0943,0.1395
80,0.20494365692138672,0.0903,0.1314
81,0.2504842281341553,0.0949,0.135
82,0.48386088013648987,0.11272,0.1569
83,0.11156569421291351,0.03608,0.0902
84,0.2077370136976242,0.02998,0.0868
85,0.13677732646465302,0.0283,0.0857
86,0.09752547740936279,0.02652,0.0854
87,0.08040377497673035,0.02454,0.0829
88,0.04617803543806076,0.02326,0.0836
89,0.019048893824219704,0.02256,0.0838
90,0.06773162633180618,0.0223,0.0846
91,0.11515291035175323,0.02074,0.0824
92,0.1639891266822815,0.0197,0.0837
93,0.05255261808633804,0.01854,0.0844
94,0.06523790210485458,0.01794,0.0814
95,0.08400065451860428,0.01712,0.0832
96,0.09288640320301056,0.01624,0.0824
97,0.05329883098602295,0.01696,0.0834
98,0.08367708325386047,0.01568,0.0845
99,0.06732184439897537,0.01466,0.082
100,0.04555513709783554,0.01596,0.0868
101,0.04086374491453171,0.01556,0.0819
102,0.1249677911400795,0.01396,0.0826
103,0.07838104665279388,0.0156,0.084
104,0.043659113347530365,0.014,0.0853
105,0.07282206416130066,0.0138,0.0857
106,0.08090938627719879,0.01238,0.0851
107,0.04743347316980362,0.01332,0.0831
108,0.026152968406677246,0.01224,0.0836
109,0.12244641780853271,0.01246,0.0838
110,0.011692827567458153,0.01168,0.0857
111,0.02254496142268181,0.01228,0.0849
112,0.08801490813493729,0.01134,0.084
113,0.07738526165485382,0.01204,0.0842
114,0.012895542196929455,0.01084,0.0838
115,0.02660004422068596,0.01082,0.0838
116,0.056935183703899384,0.00916,0.0832
117,0.0631902739405632,0.0095,0.0842
118,0.05773800611495972,0.00972,0.0842
119,0.015199708752334118,0.01,0.0839
120,0.027419865131378174,0.00998,0.084
121,0.09869623929262161,0.00884,0.0846
122,0.009388744831085205,0.0085,0.0838
123,0.03407885879278183,0.00884,0.0833
124,0.009145176038146019,0.00706,0.0811
125,0.049589432775974274,0.0061,0.0813
126,0.002469003200531006,0.00554,0.0826
127,0.08896027505397797,0.00584,0.0807
128,0.04798700660467148,0.00542,0.0804
129,0.01955709420144558,0.00606,0.0813
130,0.01461635809391737,0.00526,0.0809
131,0.009000515565276146,0.00546,0.0818
132,0.011524522677063942,0.00566,0.0804
133,0.09334215521812439,0.0053,0.0821
134,0.028100481256842613,0.0051,0.0823
135,0.051292888820171356,0.005,0.0814
136,0.016048889607191086,0.00508,0.0816
137,0.03693036362528801,0.00486,0.0812
138,0.009454017505049706,0.0048,0.081
139,0.040137387812137604,0.0047,0.0824
140,0.04593951255083084,0.00446,0.0807
141,0.01908179000020027,0.00546,0.0805
142,0.03054099716246128,0.00488,0.0805
143,0.097378209233284,0.00546,0.0805
144,0.006609541364014149,0.0048,0.0809
145,0.020156865939497948,0.00532,0.0806
146,0.02829207107424736,0.00514,0.0808
147,0.030143195763230324,0.00464,0.081
148,0.01759321615099907,0.0042,0.0801
149,0.019405508413910866,0.00444,0.0811
150,0.05306224152445793,0.0047,0.0801
151,0.037036240100860596,0.00396,0.08
152,0.012347867712378502,0.0044,0.08
153,0.017287421971559525,0.00422,0.0809
154,0.00962533988058567,0.00436,0.0819
155,0.0389750674366951,0.00386,0.0805
156,0.009004187770187855,0.00456,0.0804
157,0.02007087506353855,0.00402,0.0807
158,0.05513031408190727,0.00462,0.081
159,0.028327887877821922,0.00406,0.0817
160,0.024566346779465675,0.00424,0.0811
161,0.0243429783731699,0.00356,0.0818
162,0.021868055686354637,0.00414,0.0815
163,0.02768530882894993,0.004,0.0804
