epoch,train_loss,train_err,test_err
0,2.2962963581085205,0.89294,0.9003
1,2.1031017303466797,0.80934,0.8085
2,1.9002662897109985,0.74268,0.7167
3,1.9483165740966797,0.73314,0.7141
4,1.7535358667373657,0.7137,0.6824
5,1.9856445789337158,0.67328,0.6536
6,1.9382829666137695,0.66966,0.65
7,1.6864944696426392,0.66306,0.6312
8,1.7029845714569092,0.66712,0.6516
9,1.9157015085220337,0.65072,0.6228
10,1.6643720865249634,0.62232,0.5953
11,1.5548433065414429,0.58176,0.5607
12,1.6038087606430054,0.56552,0.5532
13,1.5255619287490845,0.56788,0.5583
14,1.5396757125854492,0.5921,0.5606
15,1.4461108446121216,0.54162,0.5217
16,1.3227603435516357,0.53574,0.5159
17,1.3295183181762695,0.61848,0.5961
18,1.0999555587768555,0.5045,0.4864
19,1.012315273284912,0.49946,0.492
20,1.2846038341522217,0.46242,0.4416
21,1.1177362203598022,0.48176,0.4687
22,1.109439492225647,0.50002,0.4758
23,0.9492648839950562,0.45326,0.4464
24,0.7977010011672974,0.36984,0.3745
25,1.0712506771087646,0.38252,0.3712
26,1.1484249830245972,0.3616,0.3581
27,0.89271080493927,0.34376,0.3449
28,0.8647916913032532,0.38362,0.3934
29,0.6997143626213074,0.49184,0.4931
30,0.8465345501899719,0.40958,0.4148
31,0.7762080430984497,0.35526,0.363
32,0.694392740726471,0.36568,0.3597
33,0.9668968319892883,0.35234,0.3422
34,0.8490031957626343,0.3151,0.3213
35,0.9404150247573853,0.35436,0.3519
36,0.7116214036941528,0.33772,0.3328
37,0.7144423723220825,0.28484,0.2869
38,0.9235324859619141,0.31114,0.31
39,0.7427043318748474,0.33286,0.3305
40,0.7114496827125549,0.3211,0.3333
41,0.8183795809745789,0.31338,0.319
42,0.7451528310775757,0.29886,0.295
43,0.6300798058509827,0.28004,0.2916
44,0.482351154088974,0.2582,0.2686
45,0.8003917932510376,0.31224,0.3137
46,0.9641405344009399,0.25746,0.2625
47,0.5763178467750549,0.36048,0.3615
48,0.787950336933136,0.24892,0.2575
49,0.5956210494041443,0.26888,0.273
50,0.6428294777870178,0.3006,0.3074
51,0.6801798343658447,0.30956,0.3184
52,0.5696007013320923,0.29332,0.2978
53,0.517939567565918,0.29852,0.3107
54,0.6820395588874817,0.28678,0.2969
55,0.7511733770370483,0.26636,0.2722
56,0.6785445809364319,0.33648,0.3373
57,0.6609503626823425,0.2233,0.2407
58,0.5203605890274048,0.29888,0.2954
59,0.6549724340438843,0.2361,0.2486
60,0.6121047139167786,0.2262,0.2455
61,0.8217172622680664,0.25732,0.28
62,0.5845457315444946,0.23472,0.2464
63,0.7932673692703247,0.25078,0.2471
64,0.5946139097213745,0.21682,0.2337
65,0.6513442993164062,0.21044,0.2325
66,0.6518951654434204,0.2681,0.2792
67,0.6807748675346375,0.22454,0.2369
68,0.687818706035614,0.268,0.2753
69,0.48593610525131226,0.25954,0.2703
70,0.4992416799068451,0.2211,0.2432
71,0.5458281636238098,0.30934,0.3275
72,0.378743439912796,0.21568,0.2332
73,0.5504748225212097,0.25638,0.2756
74,0.41887301206588745,0.3276,0.326
75,0.5074551701545715,0.24626,0.2757
76,0.4768734872341156,0.3872,0.3952
77,0.4856744706630707,0.33916,0.3459
78,0.39821216464042664,0.21244,0.23
79,0.6568651795387268,0.25332,0.2628
80,0.53082275390625,0.18384,0.2114
81,0.353215754032135,0.23028,0.2506
82,0.4328993856906891,0.41628,0.4132
83,0.27141624689102173,0.109,0.1453
84,0.4679466187953949,0.1022,0.1404
85,0.19398179650306702,0.09706,0.1383
86,0.22253990173339844,0.09244,0.1375
87,0.31757816672325134,0.09098,0.1385
88,0.23206886649131775,0.09316,0.1415
89,0.16036614775657654,0.08886,0.1374
90,0.29957881569862366,0.08378,0.1353
91,0.08831246197223663,0.08444,0.1359
92,0.3199257254600525,0.08022,0.1362
93,0.2676594853401184,0.07896,0.1354
94,0.19082523882389069,0.08034,0.1373
95,0.23872387409210205,0.07582,0.1313
96,0.20102505385875702,0.07716,0.1358
97,0.22122660279273987,0.075,0.1342
98,0.2872374653816223,0.0749,0.1331
99,0.140379399061203,0.07058,0.1365
100,0.24249267578125,0.07144,0.1353
101,0.14211693406105042,0.07556,0.1342
102,0.33433809876441956,0.06934,0.1395
103,0.1986202895641327,0.07108,0.1367
104,0.3137061595916748,0.07146,0.1379
105,0.25046372413635254,0.06874,0.1399
106,0.2151714265346527,0.06534,0.1322
107,0.14723636209964752,0.06724,0.1363
108,0.16660504043102264,0.07428,0.1422
109,0.19130557775497437,0.07192,0.1393
110,0.22254547476768494,0.0638,0.1338
111,0.14589259028434753,0.06584,0.1347
112,0.17053022980690002,0.0642,0.1377
113,0.18590375781059265,0.0637,0.1387
114,0.17705963551998138,0.06392,0.1334
115,0.23778530955314636,0.06252,0.1357
116,0.1805696040391922,0.0665,0.1404
117,0.12861832976341248,0.06744,0.1387
118,0.13912048935890198,0.06126,0.1372
119,0.329725980758667,0.06304,0.1359
120,0.3258330225944519,0.06092,0.1413
121,0.15906411409378052,0.05902,0.1378
122,0.13242076337337494,0.0619,0.1386
123,0.18259282410144806,0.05782,0.1386
124,0.21560588479042053,0.04706,0.1303
125,0.0708376094698906,0.04492,0.1288
126,0.2092195451259613,0.04212,0.1295
127,0.07542900741100311,0.04248,0.1286
128,0.1336437612771988,0.04308,0.1297
129,0.07522629201412201,0.03982,0.1283
130,0.1047622412443161,0.03872,0.1291
131,0.13918307423591614,0.0394,0.1297
132,0.31121641397476196,0.04092,0.1309
133,0.2405182421207428,0.0379,0.1296
134,0.16843430697917938,0.03874,0.1284
135,0.07860887050628662,0.03986,0.1277
136,0.11478942632675171,0.03862,0.1288
137,0.1533934324979782,0.0385,0.1308
138,0.11063210666179657,0.03918,0.1285
139,0.09960492700338364,0.03882,0.1283
140,0.1766936033964157,0.03722,0.1286
141,0.18589961528778076,0.03642,0.1291
142,0.13382670283317566,0.03774,0.1283
143,0.18500959873199463,0.0367,0.1278
144,0.17109625041484833,0.03612,0.1288
145,0.11605517566204071,0.03608,0.129
146,0.06674063205718994,0.0375,0.1287
147,0.12347779422998428,0.0357,0.1306
148,0.12988583743572235,0.03662,0.1302
149,0.1801995038986206,0.036,0.1297
150,0.14927752315998077,0.03702,0.1311
151,0.15616202354431152,0.03672,0.128
152,0.19344660639762878,0.03546,0.1298
153,0.09637971967458725,0.0351,0.1291
154,0.151391863822937,0.03576,0.1288
155,0.11265730857849121,0.0336,0.1276
156,0.1946367472410202,0.03368,0.1299
157,0.11913253366947174,0.03486,0.1294
158,0.07590844482183456,0.03452,0.1287
159,0.2222244292497635,0.03504,0.1296
160,0.05674443393945694,0.03406,0.1288
161,0.1162276491522789,0.03352,0.1277
162,0.17986035346984863,0.03354,0.129
163,0.09399651736021042,0.03332,0.1307
