epoch,train_loss,train_err,test_err
0,1.6277596950531006,0.6439,0.6232
1,1.6200882196426392,0.50872,0.5165
2,1.133655309677124,0.54952,0.5255
3,0.7108099460601807,0.3242,0.3205
4,0.9538419842720032,0.31932,0.3375
5,0.7988369464874268,0.27954,0.2803
6,0.6371588110923767,0.26388,0.2782
7,0.44995737075805664,0.23452,0.2434
8,0.5903742909431458,0.19388,0.214
9,0.5913880467414856,0.20608,0.2287
10,0.5350953340530396,0.18286,0.2092
11,0.41361457109451294,0.16248,0.1826
12,0.40108323097229004,0.14188,0.1664
13,0.5241237878799438,0.13816,0.1699
14,0.517496645450592,0.16096,0.1828
15,0.5858737230300903,0.16168,0.1935
16,0.5108177661895752,0.15024,0.1797
17,0.3790786862373352,0.13994,0.1715
18,0.3508358895778656,0.14118,0.1852
19,0.3296591341495514,0.13154,0.161
20,0.22106266021728516,0.13124,0.1718
21,0.33647817373275757,0.13362,0.165
22,0.2548538148403168,0.11844,0.1533
23,0.3391590118408203,0.1303,0.1728
24,0.43760401010513306,0.1191,0.1568
25,0.24628181755542755,0.123,0.1669
26,0.2554786801338196,0.11416,0.1522
27,0.30118995904922485,0.1038,0.1475
28,0.41368189454078674,0.10972,0.1496
29,0.33040034770965576,0.09712,0.1346
30,0.19454291462898254,0.08764,0.1312
31,0.26128989458084106,0.09484,0.1349
32,0.24118256568908691,0.10292,0.143
33,0.20509299635887146,0.1152,0.1631
34,0.48196569085121155,0.10814,0.1498
35,0.1619824916124344,0.11694,0.1615
36,0.2417779415845871,0.10592,0.1445
37,0.3495001792907715,0.10898,0.1526
38,0.26095300912857056,0.09258,0.1331
39,0.3503561019897461,0.09876,0.1421
40,0.45702582597732544,0.1208,0.1554
41,0.15460599958896637,0.13034,0.1718
42,0.281151682138443,0.10348,0.1501
43,0.138639897108078,0.09604,0.1459
44,0.3229459226131439,0.08058,0.1277
45,0.17535407841205597,0.0814,0.1236
46,0.23641684651374817,0.08406,0.1309
47,0.26088589429855347,0.10316,0.1508
48,0.2858632206916809,0.09672,0.1445
49,0.2945851683616638,0.0939,0.1414
50,0.1734623908996582,0.08996,0.1343
51,0.2879146635532379,0.0963,0.145
52,0.15317203104496002,0.08436,0.1306
53,0.3530513644218445,0.0869,0.1295
54,0.2665490508079529,0.11364,0.1636
55,0.16738800704479218,0.097,0.1431
56,0.41160058975219727,0.0788,0.1297
57,0.3088304102420807,0.10266,0.1462
58,0.1868496835231781,0.08788,0.1397
59,0.2329811304807663,0.0672,0.124
60,0.37323635816574097,0.08782,0.1289
61,0.19262179732322693,0.07978,0.1258
62,0.20207563042640686,0.07624,0.1286
63,0.23746590316295624,0.1118,0.1614
64,0.25955042243003845,0.06554,0.1192
65,0.2692195773124695,0.09048,0.1412
66,0.21027103066444397,0.10338,0.1593
67,0.21993756294250488,0.08888,0.1389
68,0.15047597885131836,0.13464,0.1752
69,0.3524661362171173,0.06154,0.1116
70,0.26146119832992554,0.1012,0.148
71,0.2229233980178833,0.07762,0.1319
72,0.08506797254085541,0.07806,0.133
73,0.24846498668193817,0.08868,0.1457
74,0.1437046080827713,0.07348,0.1291
75,0.20273402333259583,0.09406,0.1432
76,0.2657926082611084,0.08622,0.1386
77,0.24470801651477814,0.08278,0.1311
78,0.1744406372308731,0.0868,0.1412
79,0.248573899269104,0.08674,0.1408
80,0.17006610333919525,0.09244,0.1435
81,0.15570691227912903,0.07526,0.1335
82,0.3154675364494324,0.09324,0.1409
83,0.08242084830999374,0.02184,0.0858
84,0.0847308337688446,0.01716,0.0815
85,0.09382737427949905,0.0154,0.0817
86,0.05915791541337967,0.01338,0.077
87,0.024078447371721268,0.01182,0.0769
88,0.09308414161205292,0.0102,0.0761
89,0.04445745423436165,0.00954,0.0786
90,0.016204768791794777,0.00852,0.0768
91,0.09532971680164337,0.00842,0.0783
92,0.04814766347408295,0.00752,0.0755
93,0.037325821816921234,0.0075,0.0766
94,0.02792876958847046,0.00642,0.0771
95,0.020012622699141502,0.00582,0.0746
96,0.012968105264008045,0.00582,0.0762
97,0.07842085510492325,0.00508,0.076
98,0.08038152754306793,0.00432,0.0768
99,0.07047810405492783,0.00514,0.0761
100,0.04576384276151657,0.00398,0.0768
101,0.01177890319377184,0.00456,0.0751
102,0.012583965435624123,0.00346,0.0749
103,0.007937413640320301,0.00342,0.0753
104,0.012643342837691307,0.00322,0.0749
105,0.0027349949814379215,0.00324,0.0749
106,0.0033398568630218506,0.00284,0.076
107,0.02152097225189209,0.00302,0.0767
108,0.005320513155311346,0.00272,0.0784
109,0.0016429066890850663,0.00258,0.0776
110,0.019669348374009132,0.00256,0.077
111,0.009967708960175514,0.00264,0.0791
112,0.008246278390288353,0.00228,0.0769
113,0.037639059126377106,0.00222,0.0768
114,0.0024269341956824064,0.0027,0.0778
