epoch,train_loss,train_err,test_err
0,1.5518537759780884,0.56192,0.5568
1,1.1211414337158203,0.40972,0.4172
2,0.7774555683135986,0.32836,0.3292
3,0.7968992590904236,0.2891,0.3077
4,0.9757367968559265,0.26296,0.2844
5,0.6739180684089661,0.25264,0.2695
6,0.6962217688560486,0.21356,0.2335
7,0.4617645740509033,0.2088,0.2355
8,0.7560162544250488,0.20004,0.2301
9,0.7630202174186707,0.19128,0.2266
10,0.520520031452179,0.17758,0.2077
11,0.6827043890953064,0.17458,0.2069
12,0.7595664262771606,0.16264,0.1958
13,0.4750714898109436,0.17062,0.1936
14,0.2936215400695801,0.15806,0.1927
15,0.3370499014854431,0.1556,0.1869
16,0.712002158164978,0.15938,0.1882
17,0.38912779092788696,0.14816,0.1884
18,0.5589271187782288,0.14878,0.178
19,0.38525545597076416,0.142,0.1699
20,0.6016140580177307,0.13818,0.1774
21,0.4002256989479065,0.13982,0.1761
22,0.4703398644924164,0.12808,0.1647
23,0.3547797203063965,0.13316,0.1745
24,0.42620182037353516,0.13522,0.1702
25,0.37974828481674194,0.13066,0.1673
26,0.4921046197414398,0.12316,0.1641
27,0.43608707189559937,0.13008,0.1675
28,0.5931004285812378,0.12714,0.1676
29,0.2918241322040558,0.13158,0.1693
30,0.3764656186103821,0.1126,0.1606
31,0.31293997168540955,0.11842,0.1575
32,0.3859788477420807,0.12526,0.1711
33,0.41894641518592834,0.12004,0.1575
34,0.29526469111442566,0.12178,0.1656
35,0.3142598867416382,0.11564,0.1615
36,0.41052302718162537,0.12376,0.17
37,0.4845077395439148,0.1205,0.1611
38,0.24226811528205872,0.1128,0.168
39,0.4233074188232422,0.11214,0.1557
40,0.30174997448921204,0.10962,0.1606
41,0.34237807989120483,0.11384,0.1551
42,0.338871031999588,0.11506,0.1546
43,0.42467254400253296,0.10662,0.1584
44,0.24741974472999573,0.11022,0.1521
45,0.3194182515144348,0.1005,0.1488
46,0.4353598952293396,0.10694,0.1553
47,0.3500540852546692,0.1088,0.157
48,0.3592175543308258,0.11866,0.1696
49,0.4517936110496521,0.1095,0.1586
50,0.4103028178215027,0.10666,0.156
51,0.2831033170223236,0.09906,0.1459
52,0.5220787525177002,0.10084,0.1517
53,0.25674864649772644,0.10632,0.1537
54,0.2413977086544037,0.10104,0.1526
55,0.3571547865867615,0.09854,0.1528
56,0.3329632580280304,0.0936,0.1467
57,0.2490336000919342,0.0955,0.1523
58,0.36933255195617676,0.09488,0.1386
59,0.27427130937576294,0.0952,0.1459
60,0.4067935049533844,0.09564,0.1444
61,0.371455579996109,0.1079,0.1548
62,0.251483291387558,0.09434,0.1465
63,0.2759603261947632,0.0917,0.1398
64,0.3985137343406677,0.10082,0.1499
65,0.3894507884979248,0.09614,0.1486
66,0.3519527018070221,0.1031,0.1532
67,0.31099504232406616,0.1067,0.1592
68,0.3538721203804016,0.11254,0.1598
69,0.29184776544570923,0.09484,0.1483
70,0.3326420187950134,0.09932,0.1546
71,0.222079798579216,0.0935,0.1518
72,0.27155357599258423,0.09572,0.152
73,0.3600082993507385,0.0908,0.1466
74,0.3767422139644623,0.08828,0.1429
75,0.35190102458000183,0.09226,0.1415
76,0.41968822479248047,0.09612,0.1443
77,0.3059154152870178,0.09698,0.1494
78,0.3264037072658539,0.09264,0.1479
79,0.1948074847459793,0.08842,0.1433
80,0.20350143313407898,0.09342,0.1496
81,0.32406410574913025,0.09248,0.139
82,0.21464982628822327,0.09738,0.1401
83,0.1762765496969223,0.05116,0.1196
84,0.138692706823349,0.04718,0.1145
85,0.13873973488807678,0.0447,0.1136
86,0.09458594024181366,0.04172,0.1096
87,0.1885213553905487,0.0402,0.1108
88,0.11102424561977386,0.03854,0.1142
89,0.0521017387509346,0.03802,0.1122
90,0.1532978117465973,0.03626,0.1091
91,0.09379503130912781,0.0337,0.1089
92,0.15804392099380493,0.0339,0.1109
93,0.08173660933971405,0.0331,0.1081
94,0.1074538454413414,0.0324,0.1127
95,0.24131707847118378,0.03168,0.1092
96,0.07126434892416,0.03038,0.1098
97,0.11649058014154434,0.02912,0.1099
98,0.06561820209026337,0.02904,0.1106
99,0.09946227073669434,0.02996,0.1109
100,0.044995568692684174,0.02688,0.1114
101,0.09765191376209259,0.0259,0.1088
102,0.1107335239648819,0.02696,0.1112
103,0.15959011018276215,0.02578,0.1103
104,0.061530303210020065,0.02626,0.1131
105,0.11695332825183868,0.02464,0.1072
106,0.1330481469631195,0.0249,0.1109
107,0.15228226780891418,0.02478,0.1117
108,0.04343276470899582,0.02368,0.1122
109,0.09324867278337479,0.02516,0.111
110,0.05124276876449585,0.0227,0.1121
111,0.15934129059314728,0.02436,0.1131
112,0.10582385212182999,0.02202,0.1127
113,0.0832148939371109,0.0231,0.1159
114,0.12692663073539734,0.023,0.1143
115,0.16872183978557587,0.02116,0.116
116,0.025392120704054832,0.01982,0.1137
117,0.15808844566345215,0.02048,0.1114
118,0.07446936517953873,0.02078,0.1066
119,0.0684330016374588,0.02084,0.1085
120,0.09610435366630554,0.02028,0.1121
