epoch,train_loss,train_err,test_err
0,1.785976767539978,0.64594,0.6569
1,1.2129738330841064,0.50256,0.5112
2,0.994341254234314,0.38144,0.4096
3,0.9504396319389343,0.30908,0.3653
4,0.6467298269271851,0.2402,0.2959
5,0.7538231611251831,0.2186,0.2785
6,0.4950663447380066,0.20768,0.27
7,0.4099847674369812,0.19792,0.252
8,0.46911993622779846,0.17,0.2394
9,0.6691775321960449,0.17134,0.2178
10,0.5242787599563599,0.1543,0.2206
11,0.40260156989097595,0.1437,0.2127
12,0.5208271741867065,0.13934,0.2163
13,0.43489083647727966,0.13762,0.1964
14,0.3034678101539612,0.1397,0.1979
15,0.3258403241634369,0.13486,0.2008
16,0.3845023810863495,0.1158,0.1888
17,0.3768863081932068,0.12184,0.1973
18,0.3844470679759979,0.1179,0.178
19,0.3635677695274353,0.10952,0.1855
20,0.4384627342224121,0.11716,0.1996
21,0.31081730127334595,0.1172,0.1849
22,0.334973007440567,0.09776,0.1803
23,0.3970942497253418,0.0992,0.174
24,0.15625813603401184,0.09466,0.1699
25,0.2955322861671448,0.09314,0.1677
26,0.16532759368419647,0.09658,0.1706
27,0.15544432401657104,0.0896,0.1678
28,0.1724351942539215,0.08584,0.169
29,0.30900758504867554,0.09024,0.167
30,0.2596127688884735,0.0925,0.1725
31,0.3407408893108368,0.09736,0.1857
32,0.17601488530635834,0.08868,0.1655
33,0.3141305148601532,0.08362,0.1588
34,0.21076932549476624,0.08122,0.1674
35,0.31988245248794556,0.08422,0.1716
36,0.4096857011318207,0.07816,0.162
37,0.36149853467941284,0.08424,0.1715
38,0.294935405254364,0.08184,0.16
39,0.3308030366897583,0.08066,0.1592
40,0.1486940085887909,0.07678,0.1569
41,0.26499754190444946,0.06972,0.1618
42,0.2455235719680786,0.0689,0.1534
43,0.19259870052337646,0.07264,0.151
44,0.1784323751926422,0.07692,0.1557
45,0.33622467517852783,0.07446,0.1625
46,0.4707595705986023,0.06746,0.1509
47,0.45099949836730957,0.08308,0.1649
48,0.1289227455854416,0.06994,0.1573
49,0.3729327321052551,0.07914,0.1565
50,0.2574034035205841,0.07494,0.1591
51,0.3169878423213959,0.06274,0.1578
52,0.15653358399868011,0.06992,0.1519
53,0.26200225949287415,0.06918,0.1613
54,0.2397705316543579,0.06624,0.146
55,0.2631191611289978,0.0629,0.1517
56,0.30111685395240784,0.06192,0.1482
57,0.12456681579351425,0.07162,0.1552
58,0.3169572353363037,0.06608,0.1535
59,0.3312586545944214,0.06314,0.1487
60,0.29796093702316284,0.0691,0.1559
61,0.2235441952943802,0.06858,0.154
62,0.2140672653913498,0.06124,0.1571
63,0.17908963561058044,0.05964,0.1535
64,0.24111714959144592,0.0647,0.1478
65,0.17869269847869873,0.05904,0.1533
66,0.26186603307724,0.0619,0.1476
67,0.2409258335828781,0.0631,0.1436
68,0.29924437403678894,0.05956,0.1511
69,0.11323211342096329,0.06452,0.1548
70,0.2495686560869217,0.0627,0.1594
71,0.30838823318481445,0.05756,0.1555
72,0.2146582156419754,0.06122,0.1499
73,0.0930870994925499,0.06952,0.1573
74,0.2697031497955322,0.0641,0.1496
75,0.17187321186065674,0.05914,0.1509
76,0.19823472201824188,0.06442,0.1515
77,0.23612093925476074,0.05622,0.1444
78,0.13988375663757324,0.05948,0.1473
79,0.3491875231266022,0.06004,0.1527
80,0.3198489248752594,0.06124,0.1498
81,0.2125636637210846,0.0588,0.1521
82,0.15282663702964783,0.05566,0.1549
83,0.06932155042886734,0.02588,0.1212
84,0.21050676703453064,0.01988,0.1175
85,0.08692775666713715,0.01796,0.1167
86,0.016175251454114914,0.01636,0.1169
87,0.028407562524080276,0.01434,0.1155
88,0.07180880010128021,0.01306,0.1146
89,0.019203100353479385,0.01292,0.1143
90,0.015581143088638783,0.0118,0.1144
91,0.012972652912139893,0.01104,0.1172
92,0.09213252365589142,0.01036,0.117
93,0.0467703677713871,0.01078,0.1158
94,0.04365300387144089,0.00916,0.1149
95,0.017070526257157326,0.00872,0.1144
96,0.04094510152935982,0.0087,0.1152
97,0.010327393189072609,0.00798,0.1141
98,0.0065056621097028255,0.0071,0.1155
99,0.01369513850659132,0.00664,0.1176
100,0.01987980678677559,0.0061,0.1164
101,0.049522388726472855,0.00626,0.1166
102,0.04210250824689865,0.0061,0.1159
103,0.012091189622879028,0.00618,0.1145
104,0.006030482240021229,0.0056,0.1191
105,0.033176206052303314,0.00528,0.1148
106,0.007074701599776745,0.00468,0.1157
107,0.06171257048845291,0.00462,0.1164
108,0.06936092674732208,0.00464,0.1143
109,0.01863185688853264,0.005,0.118
110,0.0013154626358300447,0.00454,0.1158
111,0.004630821757018566,0.00422,0.1147
112,0.01575678586959839,0.00386,0.1192
