epoch,train_loss,train_err,test_err
0,1.4545167684555054,0.51654,0.5428
1,1.0766284465789795,0.37676,0.4003
2,0.7165236473083496,0.30034,0.3264
3,0.8625456690788269,0.25896,0.2869
4,0.7544357180595398,0.21774,0.2556
5,0.5374471545219421,0.19232,0.2411
6,0.45754456520080566,0.20112,0.2408
7,0.46005624532699585,0.17624,0.2201
8,0.5975257158279419,0.16682,0.2098
9,0.5119902491569519,0.16172,0.1983
10,0.5545416474342346,0.15018,0.1981
11,0.3422738313674927,0.15924,0.2054
12,0.45959025621414185,0.14632,0.1994
13,0.4303012788295746,0.1355,0.1757
14,0.5306046605110168,0.13802,0.1807
15,0.4298442304134369,0.13442,0.1787
16,0.44786882400512695,0.1364,0.1711
17,0.439412921667099,0.12444,0.1734
18,0.5086184144020081,0.12198,0.1748
19,0.5462387800216675,0.12814,0.1877
20,0.4453991949558258,0.1218,0.1747
21,0.26551809906959534,0.10864,0.1708
22,0.5064810514450073,0.10936,0.1633
23,0.5049837827682495,0.10526,0.1632
24,0.28992995619773865,0.10588,0.1568
25,0.20578089356422424,0.10572,0.1623
26,0.3365585207939148,0.10316,0.1605
27,0.3225383162498474,0.09998,0.1553
28,0.36968913674354553,0.10796,0.1657
29,0.33062058687210083,0.11244,0.167
30,0.30102992057800293,0.1,0.1616
31,0.36359328031539917,0.09908,0.1639
32,0.33854740858078003,0.09406,0.1634
33,0.48997658491134644,0.09808,0.1511
34,0.1649223119020462,0.09886,0.1612
35,0.3676939010620117,0.0923,0.1557
36,0.3744019567966461,0.09896,0.1626
37,0.35617372393608093,0.09188,0.1501
38,0.2740785479545593,0.08642,0.1497
39,0.3497523367404938,0.0952,0.1583
40,0.4454773962497711,0.0932,0.1604
41,0.18835970759391785,0.09042,0.1527
42,0.3416299819946289,0.08738,0.1484
43,0.4165542721748352,0.08528,0.1507
44,0.3768790662288666,0.08758,0.147
45,0.2737465500831604,0.08096,0.1471
46,0.3160925805568695,0.08684,0.1502
47,0.31148412823677063,0.081,0.1474
48,0.30781254172325134,0.08956,0.157
49,0.22588375210762024,0.08516,0.1471
50,0.3740062117576599,0.08232,0.1537
51,0.13009360432624817,0.09144,0.1485
52,0.15614770352840424,0.08614,0.1577
53,0.26605722308158875,0.0817,0.1545
54,0.21307751536369324,0.08492,0.1587
55,0.3440212607383728,0.08086,0.1451
56,0.2580140233039856,0.07792,0.1475
57,0.40181484818458557,0.08658,0.1415
58,0.1952497661113739,0.07834,0.1409
59,0.21729274094104767,0.08044,0.1588
60,0.24409982562065125,0.08224,0.1573
61,0.2710067629814148,0.08482,0.1608
62,0.40427857637405396,0.083,0.1394
63,0.22664590179920197,0.0825,0.1526
64,0.36557748913764954,0.0789,0.146
65,0.3238416910171509,0.08234,0.1526
66,0.2275104969739914,0.07814,0.1451
